target_file,original_relative_path,dataset,kind,manuscript_block,rows_excluding_header,column_count,columns,sha256
raw_records/ExpD_AuxiliaryProbe_raw.csv,DROBaseline/artifacts/results/EJOR_auxiliary_probes_v2/ExpD_Evidence_raw.csv,ExpD_auxiliary_probe,raw_csv,Auxiliary fixed-buffer and staged nominal replanning probe,60,60,source_file;instance_index;instance_id;layout_id;layout_variant;layout_source;subset_rule;perturbation_rule;config;policy_type;buffer_rule;buffer_eta;run_seed;status;n_tasks;L;mode;time_total;palns_obj;final_obj;ship_time;drone_time;intensify_ran;replan_count;replan_time_total;realized_failure_rate;realized_cost_inflation;subexp;total_time_budget;palns_share;palns_time_limit;intensify_time_limit;dro_enabled;eps_sortie;hat_out;hat_in;dro_clipped_out;dro_clipped_in;mc_samples;mc_seed;mc_dist;mc_corr;mc_R_tol;mc_time;mc_infeasible_rate;mc_obj_mean;mc_obj_p90;mc_obj_p95;mc_makespan_mean;mc_makespan_p90;mc_makespan_p95;mc_drone_time_mean;mc_drone_time_p90;mc_drone_time_p95;cert_time;cert_lb;cert_ub;cert_gap;cert_cuts;heur_gap_to_lb,9f34f4ff74ce0c23ddc2d939688a0bca223f505839e52ea81ce455f4704b373f
raw_records/ExpD_AuxiliaryProbe_summary.csv,DROBaseline/artifacts/results/EJOR_auxiliary_probes_v2/ExpD_Evidence_summary.csv,ExpD_auxiliary_probe_summary,summary_csv,Auxiliary fixed-buffer and staged nominal replanning probe,4,19,subexp;config;n_tasks;count;mean_obj;mean_time;std_obj;std_time;mean_mc_infeasible_rate;std_mc_infeasible_rate;mean_mc_obj_mean;std_mc_obj_mean;mean_replan_count;mean_replan_time_total;mean_realized_cost_inflation;mean_cert_gap;std_cert_gap;mean_heur_gap_to_lb;std_heur_gap_to_lb,39514c7cc85993fdcbc3acd21159cb672d95a47249533f0115146881070d2a32
raw_records/ExpD_AuxiliaryProbe_manifest.json,DROBaseline/artifacts/results/EJOR_auxiliary_probes_v2/manifest.json,ExpD_auxiliary_probe_manifest,run_manifest_json,Auxiliary fixed-buffer and staged nominal replanning probe,,,,0d83aa232cdb894519e0319167f9593b341b21f6368a9c770a86027bd14c10b3
raw_records/PublicLayoutProbe_raw.csv,DROBaseline/artifacts/results/EJOR_public_layout_probe/HornsRev1_public_probe_raw.csv,PublicLayoutProbe,raw_csv,Mini public-layout probe on Horns Rev 1 subset,9,60,source_file;instance_index;instance_id;layout_id;layout_variant;layout_source;subset_rule;perturbation_rule;config;policy_type;buffer_rule;buffer_eta;run_seed;status;n_tasks;L;mode;time_total;palns_obj;final_obj;ship_time;drone_time;intensify_ran;replan_count;replan_time_total;realized_failure_rate;realized_cost_inflation;subexp;total_time_budget;palns_share;palns_time_limit;intensify_time_limit;dro_enabled;eps_sortie;hat_out;hat_in;dro_clipped_out;dro_clipped_in;mc_samples;mc_seed;mc_dist;mc_corr;mc_R_tol;mc_time;mc_infeasible_rate;mc_obj_mean;mc_obj_p90;mc_obj_p95;mc_makespan_mean;mc_makespan_p90;mc_makespan_p95;mc_drone_time_mean;mc_drone_time_p90;mc_drone_time_p95;cert_time;cert_lb;cert_ub;cert_gap;cert_cuts;heur_gap_to_lb,67d5a72b4b1e027caa83e10381c4aeebbf86d425a3007042461e0ba671c23e32
raw_records/PublicLayoutProbe_summary.csv,DROBaseline/artifacts/results/EJOR_public_layout_probe/HornsRev1_public_probe_summary.csv,PublicLayoutProbe_summary,summary_csv,Mini public-layout probe on Horns Rev 1 subset,3,10,config;n_tasks;L;runs;mean_obj;best_obj;std_obj;mean_time;mean_ship_time;mean_drone_time,5aeba8ad27cf007f32e11884076da247979724a227ad64903619dc19706fe027
raw_records/PublicLayoutProbe_hornsrev1_public_n24_L3_scaled.json,DROBaseline/artifacts/results/EJOR_public_layout_probe/hornsrev1_public_n24_L3_scaled.json,PublicLayoutProbe_instance,instance_json,Mini public-layout probe on Horns Rev 1 subset,,,,2bd01e1596336d1af1e6541cf38059db00afb7ce58181ca4366433f738c64aa6
raw_records/PublicLayout_HornsRev1_source_coordinates.csv,data/public_layouts/WPPcoords_CSVs/WPPcoords_HornsRev1.csv,PublicLayout_HornsRev1_coordinates,public_source_coordinates_csv,Public-layout geometry anchor,81,2,x1;x2,ef34ba31889d82c4f52ae8ca7d85a8331b260e42b2c95d94d5a97f548ec2124a
raw_records/TinyMonolithicCert_combined.csv,DROBaseline/prototypes_r2_bounds/consolidate_exact.csv,TinyMonolithicCert,raw_csv,Appendix tiny monolithic validation note,5,8,instance_id;n;L;status;cert_ub;cert_lb;cert_gap;cert_time,a049bb153745efd8a042efc0558cbd887ab5877ab1398c95fd48ee6379886a74
raw_records/TinyMonolithicCert_5task_900s.csv,DROBaseline/prototypes_r2_bounds/consolidate_exact.csv,TinyMonolithicCert_5task_900s,raw_csv,Appendix tiny monolithic validation note,1,9,file;instance_id;n;L;status;cert_ub;cert_lb;cert_gap;cert_time,a8e3a2b52b18a44c84610718beab3b18c8d3adb20b30431e4b2372b5ed368cc2
raw_records/TinyMonolithicCert_6task_900s.csv,DROBaseline/prototypes_r2_bounds/consolidate_exact.csv,TinyMonolithicCert_6task_900s,raw_csv,Appendix tiny monolithic validation note,1,9,file;instance_id;n;L;status;cert_ub;cert_lb;cert_gap;cert_time,896811b001955e347fcdba3329233b1cba5bda818115233e8d254c9b2cbc7c19
