subexp,config,n_tasks,count,mean_obj,mean_time,std_obj,std_time,mean_mc_infeasible_rate,std_mc_infeasible_rate,mean_cert_gap,std_cert_gap,mean_heur_gap_to_lb,std_heur_gap_to_lb
fair,fair_budget_hybrid,40,15,78062.07924629073,52.03755343334439,4859.50221958021,1.6288543095927084,nan,nan,nan,nan,nan,nan
fair,fair_budget_palns,40,15,80639.95245494031,28.404980106667306,5412.063242099972,1.6058170312078897,nan,nan,nan,nan,nan,nan
mc,mc_dro,40,15,79208.05353784421,52.12715867999941,5314.131759841533,3.1052095996992377,0.0,0.0,nan,nan,nan,nan
mc,mc_nominal,40,15,60294.34137806783,48.072208313349016,4662.204288506308,1.425635335786609,0.5138,0.3646159074971908,nan,nan,nan,nan
