source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran,subexp,total_time_budget,palns_share,palns_time_limit,intensify_time_limit,dro_enabled,eps_sortie,hat_out,hat_in,dro_clipped_out,dro_clipped_in,mc_samples,mc_seed,mc_dist,mc_corr,mc_R_tol,mc_time,mc_infeasible_rate,mc_obj_mean,mc_obj_p90,mc_obj_p95,mc_makespan_mean,mc_makespan_p90,mc_makespan_p95,mc_drone_time_mean,mc_drone_time_p90,mc_drone_time_p95,cert_time,cert_lb,cert_ub,cert_gap,cert_cuts,heur_gap_to_lb
GENERATED,0,syn_n40_L3_0,fair_budget_hybrid,10403,OK,40,3,hybrid,52.17488429998048,77600.49533670602,76302.48933606707,31.09683697676188,52.08414772349302,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,fair_budget_hybrid,12403,OK,40,3,hybrid,54.10382409999147,81438.11432198767,80016.46545290043,32.25329147117174,55.96859989312992,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,fair_budget_hybrid,14403,OK,40,3,hybrid,51.90010450000409,86735.9721973352,85490.37464095143,35.35541474669597,56.413710159040576,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,fair_budget_hybrid,11356,OK,40,3,hybrid,50.16167239996139,80492.07221244951,79614.94071113475,29.963313735882547,63.727349689187605,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,fair_budget_hybrid,13356,OK,40,3,hybrid,55.41438269999344,79020.64626771116,77900.18900940736,29.01946780436925,63.482430537732526,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,fair_budget_hybrid,15356,OK,40,3,hybrid,53.11841280001681,82635.24156470351,81972.80067994562,29.931067448000366,69.08885781854443,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,fair_budget_hybrid,10077,OK,40,3,hybrid,51.282638899981976,78231.74056085822,77565.81749164994,28.51599162809575,64.64140383086034,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,fair_budget_hybrid,12077,OK,40,3,hybrid,52.653915100032464,83461.76201554509,82438.35608210826,31.82670956469802,62.962110715825844,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,fair_budget_hybrid,14077,OK,40,3,hybrid,53.017044600099325,86005.37038846157,84063.86820430137,32.5102391532204,63.99213698628158,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,fair_budget_hybrid,10530,OK,40,3,hybrid,50.621532600023784,79820.58612232911,79404.6760477596,30.25208215073783,62.16919198112282,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
