instance_id,n,L,status,cert_ub,cert_lb,cert_gap,cert_time
Example 3_5_1 prefix2,2,3,OK,6106.353216438647,6106.353216438647,0.0,0.05392760003451258
Example 3_5_1 prefix3,3,3,OK,8342.242224391835,8342.242224391834,2.1804562306130642e-16,0.25060580007266253
Example 3_5_1 prefix4,4,3,OK,11325.725711317415,11325.725711317411,3.212137482242223e-16,4.016883899923414
Example 3_6_1,5,3,OK,12340.1860399565,12340.186039956498,1.474037261396319e-16,34.96129840007052
Example_6_15_1_prefix6_R5,6,3,OK,8155.440243681558,8155.44024368156,-2.2304000142176526e-16,786.2936833000276
