source_file,instance_index,instance_id,layout_id,layout_variant,layout_source,subset_rule,perturbation_rule,config,policy_type,buffer_rule,buffer_eta,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran,replan_count,replan_time_total,realized_failure_rate,realized_cost_inflation,subexp,total_time_budget,palns_share,palns_time_limit,intensify_time_limit,dro_enabled,eps_sortie,hat_out,hat_in,dro_clipped_out,dro_clipped_in,mc_samples,mc_seed,mc_dist,mc_corr,mc_R_tol,mc_time,mc_infeasible_rate,mc_obj_mean,mc_obj_p90,mc_obj_p95,mc_makespan_mean,mc_makespan_p90,mc_makespan_p95,mc_drone_time_mean,mc_drone_time_p90,mc_drone_time_p95,cert_time,cert_lb,cert_ub,cert_gap,cert_cuts,heur_gap_to_lb
GENERATED,0,syn_n40_L3_0,syn_n40_L3_0,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,11999,OK,40,3,hybrid,28.651331200031564,46198.85926489281,46104.469236446756,16.681085284018344,39.436942785812406,True,nan,nan,0.0,0.12617293757007375,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,24344,beta,0.7,0.0001,0.19767220003996044,0.0,51921.60555511834,52677.48472874309,52860.47750146228,18.686398101602602,18.950146030996684,19.03446561860254,44.788286183097604,45.45739510423013,45.64394831620141,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,syn_n40_L3_0,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,13999,OK,40,3,hybrid,28.475866300053895,48942.81967925084,48911.91739810464,17.199659364255528,43.71665884193392,True,nan,nan,0.0,0.12921699262190375,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,26344,beta,0.7,0.0001,0.19841640000231564,0.0,55232.16826765869,55989.58085588205,56213.021320570064,19.347300765274227,19.61372536860022,19.687576910360857,49.64834881487224,50.37595714854941,50.598239716919586,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,syn_n40_L3_0,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,15999,OK,40,3,hybrid,26.326251800055616,47294.36265518891,47222.187511861055,16.6443406222454,42.059574342319735,True,nan,nan,0.0,0.12998019562550883,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,28344,beta,0.7,0.0001,0.19927219999954104,0.0,53360.136682517215,54124.418300732636,54324.79756989204,18.719776484727348,18.98664455890413,19.0460982141311,47.85892590773494,48.573336885316564,48.78440345691001,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,syn_n40_L3_1,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,11277,OK,40,3,hybrid,28.2970913000172,42334.24802119341,41989.5578807926,14.83799857751672,37.255467331142626,True,nan,nan,0.0,0.1334168899624505,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,23622,beta,0.7,0.0001,0.19771690003108233,0.0,47591.67410414625,48353.17142566838,48543.40519384678,16.806528176529245,17.094977923566443,17.16348791059284,42.26794712010339,42.92381236556975,43.09581181311198,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,syn_n40_L3_1,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,13277,OK,40,3,hybrid,27.462587799993344,45265.252610284704,44988.09690328235,15.873223573823894,40.008037395070495,True,nan,nan,0.0,0.13256978397552904,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,25622,beta,0.7,0.0001,0.20048760005738586,0.0,50952.15919122066,51713.959701398,51907.314576194236,17.92471216789899,18.190610685665987,18.25226381805615,45.51144112398305,46.252957163665236,46.44161929690841,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,syn_n40_L3_1,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,15277,OK,40,3,hybrid,28.37384239991661,44124.628983444534,43713.53469000121,15.340033483451583,39.189950595852245,True,nan,nan,0.0,0.13513817298752287,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,27622,beta,0.7,0.0001,0.20073819998651743,0.0,49620.901902834674,50360.7495637317,50532.433345882055,17.38967288868596,17.669959830078945,17.725782904192393,44.574351093485646,45.2536233846254,45.42943763772434,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,syn_n40_L3_2,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,11810,OK,40,3,hybrid,28.80032709997613,43325.71162086922,42918.227841275686,15.919973548837959,35.23171735166927,True,nan,nan,0.0,0.12251519800216415,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,24155,beta,0.7,0.0001,0.20259969995822757,0.0,48176.36302315157,48866.72829734624,49056.382959243136,17.7565929654561,18.021831615481208,18.088936555736044,39.9781221819471,40.62593873316036,40.75070745489395,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,syn_n40_L3_2,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,13810,OK,40,3,hybrid,28.380511700059287,43235.326307663556,42871.02160040805,15.411765489365774,37.0467117077472,True,nan,nan,0.0,0.1326161831922539,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,26155,beta,0.7,0.0001,0.19797330000437796,0.0,48556.41285460684,49395.44681839713,49583.45479993965,17.374462937452137,17.663514277061537,17.73443054303752,42.266279690973796,43.04418750491502,43.2144493040015,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,syn_n40_L3_2,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,15810,OK,40,3,hybrid,28.54659280006308,43517.650727023836,43117.31913232169,15.63430683763577,36.75332779631307,True,nan,nan,0.0,0.1270189817269044,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,28155,beta,0.7,0.0001,0.2007836999837309,0.0,48594.03710330316,49291.75816903317,49460.72127269681,17.530244221370907,17.778828882454945,17.840740778941946,41.76138205993915,42.41915418172823,42.565423958784095,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,syn_n40_L3_3,uniform,generated,ExpD40,,mc_nominal,static_nominal,,nan,10782,OK,40,3,hybrid,29.261305600055493,41794.75099985915,41517.692972588615,15.253523535344733,34.63711769445017,True,nan,nan,0.0,0.12746994473954257,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,1000,23127,beta,0.7,0.0001,0.2122666999930516,0.0,46809.95100151778,47574.22040765578,47793.2484930914,17.089954991982466,17.35202408369841,17.443567734683313,39.46006114477241,40.220240329478244,40.40482758918827,nan,nan,nan,nan,nan,nan
