config,n_tasks,count,mean_obj,mean_time
abl_adjacent,40,100,15322.789760308437,43.88526463900344
abl_no_cache,40,100,14355.666002206537,53.60836598900205
abl_no_dro,40,100,12985.50053291373,38.758263646998095
hybrid_main,40,100,14340.992584107706,38.98822536899941
palns_only,40,100,14308.93785680908,13.275753388001467
