subexp,config,n_tasks,count,mean_obj,mean_time,std_obj,std_time,mean_mc_infeasible_rate,std_mc_infeasible_rate,mean_cert_gap,std_cert_gap,mean_heur_gap_to_lb,std_heur_gap_to_lb
fair,fair_budget_hybrid,40,15,78092.13000713845,52.266480819997376,4861.1681926337515,1.984019982285946,nan,nan,nan,nan,nan,nan
fair,fair_budget_palns,40,15,80639.95245494031,27.256446646666156,5412.063242099972,2.04042737170336,nan,nan,nan,nan,nan,nan
mc,mc_dro,40,15,79305.04798275768,52.83471598666316,5363.311611562239,2.3863998936880995,0.0,0.0,nan,nan,nan,nan
mc,mc_nominal,40,15,60319.163492573265,51.06973960666607,4672.045824785077,2.050026875810181,0.5599333333333333,0.35846012640490743,nan,nan,nan,nan
