source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran
GENERATED,0,syn_n40_L3_0,palns_only,20264,OK,40,3,palns,18.29884060000768,13935.312534869234,13935.312534869234,16.465992009393013,45.30910079498496,False
GENERATED,0,syn_n40_L3_0,palns_only,28183,OK,40,3,palns,13.594678700028453,13974.563739674933,13974.563739674933,16.546784417948096,44.699297891824585,False
GENERATED,0,syn_n40_L3_0,palns_only,36102,OK,40,3,palns,12.69504030002281,14576.778483076676,14576.778483076676,17.490446039925093,41.68411294665305,False
GENERATED,0,syn_n40_L3_0,palns_only,44021,OK,40,3,palns,12.445837700041011,14621.650145288306,14621.650145288306,17.467083821537567,43.46677940386097,False
GENERATED,0,syn_n40_L3_0,palns_only,51940,OK,40,3,palns,13.740780299995095,14320.839369444559,14320.839369444559,16.932975965885813,46.31735414371997,False
GENERATED,0,syn_n40_L3_0,palns_only,59859,OK,40,3,palns,13.052839000010863,14620.308627256942,14620.308627256942,17.542554259095947,41.811226655285196,False
GENERATED,0,syn_n40_L3_0,palns_only,67778,OK,40,3,palns,13.070809799944982,14652.009667897328,14652.009667897328,17.53473393084876,42.88454913602163,False
GENERATED,0,syn_n40_L3_0,palns_only,75697,OK,40,3,palns,13.349822900025174,14521.130631650816,14521.130631650816,17.270768656930194,44.80154682723344,False
GENERATED,0,syn_n40_L3_0,palns_only,83616,OK,40,3,palns,12.553815899998881,14546.608085169568,14546.608085169568,17.352615223708256,43.775619068239436,False
GENERATED,0,syn_n40_L3_0,palns_only,91535,OK,40,3,palns,12.34371889999602,14704.568529800967,14704.568529800967,17.65491086500965,41.81101088696367,False
GENERATED,0,syn_n40_L3_0,hybrid_main,99454,OK,40,3,hybrid,41.25335140002426,14603.449121264845,14512.227640522407,17.4633095287387,40.421299827667994,True
GENERATED,0,syn_n40_L3_0,hybrid_main,107373,OK,40,3,hybrid,36.94250210002065,14558.63582707562,14479.575590971142,17.372301348743473,41.43855941181534,True
GENERATED,0,syn_n40_L3_0,hybrid_main,115292,OK,40,3,hybrid,40.22170340002049,14320.74191517295,14265.344799455108,17.04957756124599,42.23318938630334,True
GENERATED,0,syn_n40_L3_0,hybrid_main,123211,OK,40,3,hybrid,39.4651391999796,14603.449121264845,14512.387227340685,17.462046830961576,40.45291726055724,True
GENERATED,0,syn_n40_L3_0,hybrid_main,131130,OK,40,3,hybrid,38.12973889999557,14687.753477661998,14580.425612815669,17.535384722109896,40.825344892378524,True
GENERATED,0,syn_n40_L3_0,hybrid_main,139049,OK,40,3,hybrid,36.52370670001255,13946.59504725181,13857.955270880404,16.43128065221129,43.842708049198286,True
GENERATED,0,syn_n40_L3_0,hybrid_main,146968,OK,40,3,hybrid,36.92506320000393,14603.448756318412,14527.905832670673,17.449446444699415,41.16631426131745,True
GENERATED,0,syn_n40_L3_0,hybrid_main,154887,OK,40,3,hybrid,39.60627500002738,13898.985393591996,13803.633720768903,16.410127682861592,42.7439416749345,True
GENERATED,0,syn_n40_L3_0,hybrid_main,162806,OK,40,3,hybrid,35.33898999996018,14283.96215150388,14160.519092848435,16.948519656024693,41.403695737997545,True
GENERATED,0,syn_n40_L3_0,hybrid_main,170725,OK,40,3,hybrid,38.086371699988376,14576.73494331972,14512.227576725925,17.463309793458983,40.421292332333984,True
GENERATED,0,syn_n40_L3_0,abl_no_dro,178644,OK,40,3,hybrid,39.364888400014024,12477.969334340447,12390.496311449795,14.705592340018288,38.89434446960227,True
GENERATED,0,syn_n40_L3_0,abl_no_dro,186563,OK,40,3,hybrid,39.821450800052844,12630.739468273914,12533.816401826123,15.008500000003524,36.49832576638518,True
GENERATED,0,syn_n40_L3_0,abl_no_dro,194482,OK,40,3,hybrid,39.98146320000524,12596.204244756836,12498.618386114493,14.979007332890445,36.12465389847599,True
GENERATED,0,syn_n40_L3_0,abl_no_dro,202401,OK,40,3,hybrid,36.3369899999816,12828.562605086518,12748.530179184454,15.375323467284709,34.772502249169236,True
GENERATED,0,syn_n40_L3_0,abl_no_dro,210320,OK,40,3,hybrid,38.77855659998022,12582.991907181842,12462.232768752057,14.86361704213852,37.557713918519084,True
GENERATED,0,syn_n40_L3_0,abl_no_dro,218239,OK,40,3,hybrid,39.62231659999816,12571.44493177982,12489.38749801018,14.90246707540322,37.50106261307898,True
GENERATED,0,syn_n40_L3_0,abl_no_dro,226158,OK,40,3,hybrid,36.75728479999816,12563.373796738102,12475.410863394241,14.932196002724556,36.464681752880644,True
