source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran
GENERATED,0,syn_n20_L2_0,palns_only,20264,OK,20,2,palns,4.3768233000300825,10797.551733697905,10797.551733697905,13.38210845014534,21.74201131682566,False
GENERATED,0,syn_n20_L2_0,palns_only,28183,OK,20,2,palns,4.491982300009113,10820.334968843796,10820.334968843796,13.409221833015938,21.811959830909785,False
GENERATED,0,syn_n20_L2_0,palns_only,36102,OK,20,2,palns,3.965619499969762,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172022,False
GENERATED,0,syn_n20_L2_0,palns_only,44021,OK,20,2,palns,3.9336536999908276,10774.162052320347,10774.162052320347,13.248674529876498,23.93303299751353,False
GENERATED,0,syn_n20_L2_0,palns_only,51940,OK,20,2,palns,4.3636624999926426,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172022,False
GENERATED,0,syn_n20_L2_0,palns_only,59859,OK,20,2,palns,4.070278499973938,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172022,False
GENERATED,0,syn_n20_L2_0,palns_only,67778,OK,20,2,palns,4.835066200001165,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172022,False
GENERATED,0,syn_n20_L2_0,palns_only,75697,OK,20,2,palns,3.8274421999813057,10825.232955811101,10825.232955811101,13.414804036674898,21.832283665855087,False
GENERATED,0,syn_n20_L2_0,palns_only,83616,OK,20,2,palns,3.8903002999722958,10858.752140941504,10858.752140941504,13.492721720065754,21.12031002549106,False
GENERATED,0,syn_n20_L2_0,palns_only,91535,OK,20,2,palns,4.539720599947032,10825.233215818764,10825.233215818764,13.41480606184366,21.832247698172022,False
GENERATED,0,syn_n20_L2_0,hybrid_main,99454,OK,20,2,hybrid,8.50154939998174,10869.573455756043,10593.660221818784,13.090547538220495,22.16427337581179,True
GENERATED,0,syn_n20_L2_0,hybrid_main,107373,OK,20,2,hybrid,8.295834799995646,10869.775374572686,10431.517570831345,12.844411260614406,22.805975010586913,True
GENERATED,0,syn_n20_L2_0,hybrid_main,115292,OK,20,2,hybrid,9.024646500009112,10825.233215818764,10803.80375234006,13.404907301651964,21.43209360288819,True
GENERATED,0,syn_n20_L2_0,hybrid_main,123211,OK,20,2,hybrid,7.521216699969955,10825.233215818764,10728.705112989393,13.282956196464028,21.899656161182065,True
GENERATED,0,syn_n20_L2_0,hybrid_main,131130,OK,20,2,hybrid,6.862117299984675,10825.23291240678,10569.779946387534,13.106156023880004,21.147512242215168,True
