subexp,config,n_tasks,count,mean_obj,mean_time,std_obj,std_time,mean_mc_infeasible_rate,std_mc_infeasible_rate,mean_cert_gap,std_cert_gap,mean_heur_gap_to_lb,std_heur_gap_to_lb
fair,fair_budget_hybrid,40,15,78178.25200855904,54.02590761998824,4875.9285827547355,2.01354951187994,nan,nan,nan,nan,nan,nan
fair,fair_budget_palns,40,15,80639.95245494031,30.911241540002326,5412.063242099972,1.868484357843801,nan,nan,nan,nan,nan,nan
mc,mc_dro,40,15,79300.3361092534,54.68231359333731,5362.480642001157,2.6185053506457034,0.0,0.0,nan,nan,nan,nan
mc,mc_nominal,40,15,60345.33621320586,52.6241596133293,4674.835983143109,2.6018878443755264,0.5772666666666667,0.359626744772348,nan,nan,nan,nan
