source_file,instance_index,instance_id,layout_id,layout_variant,layout_source,subset_rule,perturbation_rule,config,policy_type,buffer_rule,buffer_eta,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran,replan_count,replan_time_total,realized_failure_rate,realized_cost_inflation,subexp,total_time_budget,palns_share,palns_time_limit,intensify_time_limit,dro_enabled,eps_sortie,hat_out,hat_in,dro_clipped_out,dro_clipped_in,mc_samples,mc_seed,mc_dist,mc_corr,mc_R_tol,mc_time,mc_infeasible_rate,mc_obj_mean,mc_obj_p90,mc_obj_p95,mc_makespan_mean,mc_makespan_p90,mc_makespan_p95,mc_drone_time_mean,mc_drone_time_p90,mc_drone_time_p95,cert_time,cert_lb,cert_ub,cert_gap,cert_cuts,heur_gap_to_lb
GENERATED,4,syn_n40_L3_4,syn_n40_L3_4,uniform,generated,ExpD40,,fair_budget_palns,palns_only,,nan,10271,OK,40,3,palns,12.189366500009783,72688.9582148139,72688.9582148139,26.058433661200365,63.088046646162866,False,nan,nan,nan,nan,fair,60.0,1.0,60.0,0.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,syn_n40_L3_4,uniform,generated,ExpD40,,fair_budget_palns,palns_only,,nan,12271,OK,40,3,palns,12.424249799980316,68118.36318226713,68118.36318226713,24.147270914662737,60.15111694964543,False,nan,nan,nan,nan,fair,60.0,1.0,60.0,0.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,syn_n40_L3_4,uniform,generated,ExpD40,,fair_budget_palns,palns_only,,nan,14271,OK,40,3,palns,11.057968200009782,74037.82373996948,74037.82373996948,26.956298619864864,62.69359130266493,False,nan,nan,nan,nan,fair,60.0,1.0,60.0,0.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,syn_n40_L3_0,uniform,generated,ExpD40,,fair_budget_hybrid,proposed_reliability_aware,,nan,10403,OK,40,3,hybrid,34.625755099987146,77600.49533670602,75896.80828096572,31.67806305104351,48.98689132042608,True,nan,nan,nan,nan,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,syn_n40_L3_0,uniform,generated,ExpD40,,fair_budget_hybrid,proposed_reliability_aware,,nan,12403,OK,40,3,hybrid,36.39951060002204,81438.11432198767,79890.77095573721,32.714271827724346,53.947797441346246,True,nan,nan,nan,nan,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,syn_n40_L3_0,uniform,generated,ExpD40,,fair_budget_hybrid,proposed_reliability_aware,,nan,14403,OK,40,3,hybrid,35.06470950000221,86735.9721973352,84990.04310580643,36.41105550143248,51.31388611860273,True,nan,nan,nan,nan,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,syn_n40_L3_1,uniform,generated,ExpD40,,fair_budget_hybrid,proposed_reliability_aware,,nan,11356,OK,40,3,hybrid,35.51084380003158,80492.07221244951,79542.67947404279,29.79362601264907,64.20781167230972,True,nan,nan,nan,nan,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,syn_n40_L3_1,uniform,generated,ExpD40,,fair_budget_hybrid,proposed_reliability_aware,,nan,13356,OK,40,3,hybrid,36.62527720001526,79020.64626771116,77831.30109837353,29.068155509599084,63.14541496012243,True,nan,nan,nan,nan,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,syn_n40_L3_1,uniform,generated,ExpD40,,fair_budget_hybrid,proposed_reliability_aware,,nan,15356,OK,40,3,hybrid,36.632577100011986,82635.24156470351,81284.36882662968,30.14337746321636,66.75694919813748,True,nan,nan,nan,nan,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,syn_n40_L3_2,uniform,generated,ExpD40,,fair_budget_hybrid,proposed_reliability_aware,,nan,10077,OK,40,3,hybrid,34.598204499983694,78231.74056085822,77227.39670068331,28.451844303255832,64.13169196699644,True,nan,nan,nan,nan,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
